label,short,uri
has part,schema:hasPart,https://schema.org/hasPart
duplicate,gesiskg:duplicate,https://data.gesis.org/gesiskg/schema/duplicate
library location,gesiskg:libraryLocation,https://data.gesis.org/gesiskg/schema/libraryLocation
about,schema:about,https://schema.org/about
author,schema:author,https://schema.org/author
contributor,schema:contributor,https://schema.org/contributor
editor,schema:editor,https://schema.org/editor
is part of,schema:isPartOf,https://schema.org/isPartOf
provider,schema:provider,https://schema.org/provider
publisher,schema:publisher,https://schema.org/publisher
has fulltext,gesiskg:hasFulltext,https://data.gesis.org/gesiskg/schema/hasFulltext
links label,gesiskg:linksLabel,https://data.gesis.org/gesiskg/schema/linksLabel
source info,gesiskg:sourceInfo,https://data.gesis.org/gesiskg/schema/sourceInfo
abstract,schema:abstract,https://schema.org/abstract
date modified,schema:dateModified,https://schema.org/dateModified
date published,schema:datePublished,https://schema.org/datePublished
in language,schema:inLanguage,https://schema.org/inLanguage
name,schema:name,https://schema.org/name
publication type,schema:publicationType,https://schema.org/publicationType
url,schema:url,https://schema.org/url
isbn,schema:isbn,https://schema.org/isbn
reference,gesiskg:reference,https://data.gesis.org/gesiskg/schema/reference
source collection,gesiskg:sourceCollection,https://data.gesis.org/gesiskg/schema/sourceCollection
mention iD,gesiskg:mentionID,https://data.gesis.org/gesiskg/schema/mentionID
family name,schema:familyName,https://schema.org/familyName
advisory institution,gesiskg:advisoryInstitution,https://data.gesis.org/gesiskg/schema/advisoryInstitution
category,gesiskg:category,https://data.gesis.org/gesiskg/schema/category
citation string,gesiskg:citationString,https://data.gesis.org/gesiskg/schema/citationString
current version,gesiskg:currentVersion,https://data.gesis.org/gesiskg/schema/currentVersion
data collection,gesiskg:dataCollection,https://data.gesis.org/gesiskg/schema/dataCollection
data collector,gesiskg:dataCollector,https://data.gesis.org/gesiskg/schema/dataCollector
dataset type,gesiskg:datasetType,https://data.gesis.org/gesiskg/schema/datasetType
date version,gesiskg:dateVersion,https://data.gesis.org/gesiskg/schema/dateVersion
doi,gesiskg:doi,https://data.gesis.org/gesiskg/schema/doi
license,gesiskg:license,https://data.gesis.org/gesiskg/schema/license
links questionnaire,gesiskg:linksQuestionnaire,https://data.gesis.org/gesiskg/schema/linksQuestionnaire
locations id,gesiskg:locationsId,https://data.gesis.org/gesiskg/schema/locationsId
number of units,gesiskg:numberOfUnits,https://data.gesis.org/gesiskg/schema/numberOfUnits
selection method,gesiskg:selectionMethod,https://data.gesis.org/gesiskg/schema/selectionMethod
study number,gesiskg:studyNumber,https://data.gesis.org/gesiskg/schema/studyNumber
study publications,gesiskg:studyPublications,https://data.gesis.org/gesiskg/schema/studyPublications
archived at,schema:archivedAt,https://schema.org/archivedAt
comment,schema:comment,https://schema.org/comment
conditions of access,schema:conditionsOfAccess,https://schema.org/conditionsOfAccess
end date,schema:endDate,https://schema.org/endDate
spatial coverage,schema:spatialCoverage,https://schema.org/spatialCoverage
start date,schema:startDate,https://schema.org/startDate
temporal coverage,schema:temporalCoverage,https://schema.org/temporalCoverage
variable measured,schema:variableMeasured,https://schema.org/variableMeasured
version,schema:version,https://schema.org/version
date created,schema:dateCreated,https://schema.org/dateCreated
system,gesiskg:system,https://data.gesis.org/gesiskg/schema/system
links dataset,gesiskg:linksDataset,https://data.gesis.org/gesiskg/schema/linksDataset
links otherdocs,gesiskg:linksOtherdocs,https://data.gesis.org/gesiskg/schema/linksOtherdocs
number of variables,gesiskg:numberOfVariables,https://data.gesis.org/gesiskg/schema/numberOfVariables
group description,gesiskg:groupDescription,https://data.gesis.org/gesiskg/schema/groupDescription
group number,gesiskg:groupNumber,https://data.gesis.org/gesiskg/schema/groupNumber
links codebook,gesiskg:linksCodebook,https://data.gesis.org/gesiskg/schema/linksCodebook
links group,gesiskg:linksGroup,https://data.gesis.org/gesiskg/schema/linksGroup
links rdc,gesiskg:linksRdc,https://data.gesis.org/gesiskg/schema/linksRdc
