category,property
numericProperties,owl:versionInfo
numericProperties,gesiskg:sourceInfo
numericProperties,schema:dateModified
numericProperties,schema:datePublished
numericProperties,schema:isbn
numericProperties,gesiskg:numberOfUnits
numericProperties,schema:endDate
numericProperties,schema:startDate
numericProperties,schema:temporalCoverage
numericProperties,schema:dateCreated
numericProperties,gesiskg:numberOfVariables
numericProperties,gesiskg:groupNumber
numericProperties,gesiskg:linkScore
numericProperties,gesiskg:tags
numericProperties,schema:issueNumber
numericProperties,gesiskg:fromPage
numericProperties,gesiskg:toPage
numericProperties,schema:volumeNumber
numericProperties,schema:issn
numericProperties,gesiskg:numberOfItems
dateProperties,gesiskg:dateVersion
textProperties,rdf:type
textProperties,rdfs:comment
textProperties,rdfs:label
textProperties,rdfs:seeAlso
textProperties,rdfs:domain
textProperties,rdfs:range
textProperties,rdfs:subClassOf
textProperties,rdfs:subPropertyOf
textProperties,schema:hasPart
textProperties,gesiskg:duplicate
textProperties,gesiskg:libraryLocation
textProperties,schema:about
textProperties,schema:author
textProperties,schema:contributor
textProperties,schema:editor
textProperties,schema:isPartOf
textProperties,schema:provider
textProperties,schema:publisher
textProperties,gesiskg:linksLabel
textProperties,schema:abstract
textProperties,schema:inLanguage
textProperties,schema:name
textProperties,schema:publicationType
textProperties,schema:url
textProperties,gesiskg:reference
textProperties,gesiskg:sourceCollection
textProperties,gesiskg:mentionID
textProperties,schema:familyName
textProperties,gesiskg:advisoryInstitution
textProperties,gesiskg:category
textProperties,gesiskg:citationString
textProperties,gesiskg:currentVersion
textProperties,gesiskg:dataCollection
textProperties,gesiskg:dataCollector
textProperties,gesiskg:datasetType
textProperties,gesiskg:doi
textProperties,gesiskg:license
textProperties,gesiskg:linksQuestionnaire
textProperties,gesiskg:locationsId
textProperties,gesiskg:selectionMethod
textProperties,gesiskg:studyNumber
textProperties,gesiskg:studyPublications
textProperties,schema:archivedAt
textProperties,schema:comment
textProperties,schema:conditionsOfAccess
textProperties,schema:spatialCoverage
textProperties,schema:variableMeasured
textProperties,schema:version
textProperties,gesiskg:system
textProperties,gesiskg:linksDataset
textProperties,gesiskg:linksOtherdocs
textProperties,gesiskg:groupDescription
textProperties,gesiskg:linksCodebook
textProperties,gesiskg:linksGroup
textProperties,gesiskg:linksRdc
textProperties,gesiskg:locationsFree
textProperties,gesiskg:studyGroup
textProperties,gesiskg:analysisUnit
textProperties,gesiskg:datasetDatatype
textProperties,schema:measurementTechnique
textProperties,gesiskg:linksRemarks
textProperties,gesiskg:descriptionlinksRemarks
textProperties,gesiskg:linksExternal
textProperties,schema:description
textProperties,gesiskg:altID
textProperties,gesiskg:referenceMetadata
textProperties,schema:mainEntity
textProperties,gesiskg:linkSource
textProperties,gesiskg:linkContext
textProperties,gesiskg:linkingMethod
textProperties,gesiskg:toSource
textProperties,gesiskg:dataSource
textProperties,gesiskg:eprint
textProperties,schema:uploadDate
textProperties,gesiskg:studyComponent
textProperties,gesiskg:citeIdentifier
textProperties,gesiskg:altId
textProperties,schema:location
textProperties,gesiskg:linksDOI
textProperties,gesiskg:linksURN
textProperties,gesiskg:urn
textProperties,gesiskg:editingInstitute
textProperties,gesiskg:reviewedWork
textProperties,gesiskg:initsFirst
textProperties,schema:givenName
textProperties,gesiskg:linkType
textProperties,gesiskg:constructs
textProperties,gesiskg:criteria
textProperties,gesiskg:development
textProperties,gesiskg:linksDocumentation
textProperties,gesiskg:linksResponseSheet
textProperties,gesiskg:portalUrl
textProperties,gesiskg:theory
textProperties,gesiskg:validity
textProperties,schema:status
textProperties,gesiskg:sorceInfo
textProperties,gesiskg:quality
booleanProperties,gesiskg:hasFulltext
booleanProperties,gesiskg:hasSocialSurveyItems
